"sample_index","cell","de_novo_meta_niche","published_meta_niche"
5,"cbjnnebp-1","MetaNiche_6","MetaNiche_8"
8,"nhbhbomj-1","MetaNiche_8","MetaNiche_2"
11,"hikeafii-1","MetaNiche_2","MetaNiche_8"
13,"acljbenb-1","MetaNiche_10","MetaNiche_12"
13,"gkemahec-1","MetaNiche_5","MetaNiche_10"
14,"obfcjpng-1","MetaNiche_8","MetaNiche_2"
15,"legjphjd-1","MetaNiche_11","MetaNiche_6"
15,"nfjdohfa-1","MetaNiche_7","MetaNiche_3"
16,"iidccncp-1","MetaNiche_10","MetaNiche_2"
17,"baahiejj-1","MetaNiche_11","MetaNiche_10"
17,"cnmbjbka-1","MetaNiche_11","MetaNiche_4"
17,"kejfffon-1","MetaNiche_11","MetaNiche_10"
17,"kmpbckgd-1","MetaNiche_11","MetaNiche_5"
17,"lhgeggib-1","MetaNiche_11","MetaNiche_3"
17,"lhkkbjfd-1","MetaNiche_11","MetaNiche_3"
17,"lnopkofe-1","MetaNiche_3","MetaNiche_7"
17,"ndihkgpd-1","MetaNiche_11","MetaNiche_4"
17,"npkjdpbg-1","MetaNiche_10","MetaNiche_2"
17,"ohlpchho-1","MetaNiche_11","MetaNiche_7"
18,"bljehill-1","MetaNiche_11","MetaNiche_2"
18,"eamjdnep-1","MetaNiche_10","MetaNiche_11"
18,"hcminnlk-1","MetaNiche_11","MetaNiche_12"
18,"mecnhmeg-1","MetaNiche_12","MetaNiche_3"
18,"nelajchi-1","MetaNiche_12","MetaNiche_3"
20,"hlkldnge-1","MetaNiche_12","MetaNiche_6"
20,"hocmofhc-1","MetaNiche_12","MetaNiche_10"
20,"ihcfiaii-1","MetaNiche_12","MetaNiche_1"
20,"obbjgpkg-1","MetaNiche_12","MetaNiche_2"
21,"ejphnpni-1","MetaNiche_1","MetaNiche_2"
21,"gmmglomk-1","MetaNiche_12","MetaNiche_11"
22,"dpifbicb-1","MetaNiche_9","MetaNiche_10"
22,"fkndjcol-1","MetaNiche_1","MetaNiche_2"
22,"gallnphj-1","MetaNiche_3","MetaNiche_1"
22,"gejmjfon-1","MetaNiche_9","MetaNiche_2"
22,"gfadkmgh-1","MetaNiche_1","MetaNiche_2"
22,"gfeckhdl-1","MetaNiche_1","MetaNiche_2"
22,"kcdmahki-1","MetaNiche_3","MetaNiche_1"
22,"kdcahklk-1","MetaNiche_3","MetaNiche_8"
22,"kjkijbnm-1","MetaNiche_3","MetaNiche_10"
22,"kklaodjh-1","MetaNiche_3","MetaNiche_7"
23,"ccehmkeb-1","MetaNiche_3","MetaNiche_2"
23,"cjaegkde-1","MetaNiche_5","MetaNiche_2"
23,"cobomhhi-1","MetaNiche_5","MetaNiche_12"
23,"dciadimh-1","MetaNiche_5","MetaNiche_12"
23,"dmbjijln-1","MetaNiche_5","MetaNiche_2"
23,"jbnfehea-1","MetaNiche_3","MetaNiche_1"
23,"mhaleccb-1","MetaNiche_5","MetaNiche_12"
24,"bjmamkgk-1","MetaNiche_3","MetaNiche_2"
24,"fnhhelcp-1","MetaNiche_12","MetaNiche_3"
25,"fnhmdeec-1","MetaNiche_11","MetaNiche_10"
25,"fphndgbo-1","MetaNiche_11","MetaNiche_10"
25,"gdfdgnng-1","MetaNiche_3","MetaNiche_6"
25,"gjcdnjbk-1","MetaNiche_4","MetaNiche_10"
26,"ihecfgca-1","MetaNiche_7","MetaNiche_2"
27,"eelgnjkg-1","MetaNiche_10","MetaNiche_11"
27,"ogmcjmbd-1","MetaNiche_10","MetaNiche_12"
28,"anfmpgie-1","MetaNiche_1","MetaNiche_2"
28,"befcpdmj-1","MetaNiche_7","MetaNiche_2"
28,"lkbojkkj-1","MetaNiche_10","MetaNiche_9"
28,"ncmdgoej-1","MetaNiche_3","MetaNiche_10"
29,"lanhdmhg-1","MetaNiche_8","MetaNiche_6"
30,"cobpmnce-1","MetaNiche_9","MetaNiche_2"
30,"diodlfne-1","MetaNiche_9","MetaNiche_10"
30,"djcgncca-1","MetaNiche_9","MetaNiche_10"
30,"dkjcecml-1","MetaNiche_9","MetaNiche_2"
30,"feomkaab-1","MetaNiche_1","MetaNiche_10"
30,"kplinibn-1","MetaNiche_9","MetaNiche_12"
30,"lmkbdbhc-1","MetaNiche_1","MetaNiche_3"
30,"maemngnd-1","MetaNiche_9","MetaNiche_1"
31,"aadglefm-1","MetaNiche_4","MetaNiche_2"
31,"dalelkgi-1","MetaNiche_8","MetaNiche_10"
31,"dfjkpmmo-1","MetaNiche_8","MetaNiche_10"
31,"eeihoohg-1","MetaNiche_7","MetaNiche_2"
31,"ejflbkda-1","MetaNiche_7","MetaNiche_10"
31,"ekagbpch-1","MetaNiche_7","MetaNiche_9"
32,"gmomadgh-1","MetaNiche_3","MetaNiche_4"
32,"gncmnlhm-1","MetaNiche_11","MetaNiche_4"
32,"gnoijgfi-1","MetaNiche_3","MetaNiche_10"
32,"hchoefai-1","MetaNiche_8","MetaNiche_5"
32,"hdecpemo-1","MetaNiche_3","MetaNiche_4"
32,"hefokhpm-1","MetaNiche_7","MetaNiche_12"
33,"cdmhlbba-1","MetaNiche_3","MetaNiche_10"
33,"gihkohgj-1","MetaNiche_8","MetaNiche_12"
33,"khamjgfe-1","MetaNiche_10","MetaNiche_11"
33,"kkonncbo-1","MetaNiche_8","MetaNiche_2"
33,"klhdmlbp-1","MetaNiche_12","MetaNiche_2"
33,"kmciandl-1","MetaNiche_7","MetaNiche_5"
33,"kmhpofpc-1","MetaNiche_10","MetaNiche_1"
34,"ajlnmcgi-1","MetaNiche_9","MetaNiche_10"
34,"eioffekb-1","MetaNiche_9","MetaNiche_2"
34,"emglecaj-1","MetaNiche_9","MetaNiche_10"
34,"fdebgclo-1","MetaNiche_9","MetaNiche_5"
34,"ffpjbdom-1","MetaNiche_1","MetaNiche_9"
34,"fjgfcpff-1","MetaNiche_1","MetaNiche_2"
